	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
16SAMP-12028	0.0	0.45504287690179823	0.21933073172888784	0.14507715961505618	0.3270321063351743	0.45504287690179823	0.05827855279004435	0.45504287690179823	0.38843944991152646	0.08773667452543565	0.1839177455530635	0.4338014243917021	0.11310000062023595	0.38214447009233254	0.4338014243917021	0.38214447009233254	0.45504287690179823	0.46115426695842454	0.05827855279004435	0.38843944991152646	0.38843944991152646	0.1039802491415397	0.38214447009233254	0.38843944991152646	0.1777511989235565	0.38843944991152646	0.38214447009233254	0.1396528383622635	0.19650232685152536	0.11310000062023595	0.11310000062023595	0.38843944991152646	0.38843944991152646	0.13100637693256667	0.38843944991152646	0.38843944991152646	0.5391055546010811	0.506343578572341	0.193449087255966	0.6948747755749606	0.636449103226374	0.5364761575648129	0.3954611176405929	0.5447434092654211	0.4058859829983881	0.40999854160083604	0.40999854160083604	0.4356993821886679	0.40999854160083604	0.4290561400001176	0.4290561400001176	0.4452050489408995	0.4356993821886679	0.17710785253895478	0.40999854160083604	0.40999854160083604	0.40999854160083604	0.40999854160083604	0.40999854160083604	0.40999854160083604	0.39097626455238865	0.40999854160083604	0.39097626455238865	0.6493278597012294	0.6749540301227646	0.7483108887891764	0.6987547089909747	0.7604123813128404	0.3121574273620711	0.43402619404443865	0.7294011059389547	0.3888122925094788	0.3663864439930792	0.34030007206971125	0.5234078162926925	0.32872958132473706	0.2837065945741245	0.5500072912109659	0.4405802554899464	0.5423056345712757
16SAMP-12029	0.45504287690179823	0.0	0.26361815097957286	0.33111122775707313	0.24761557926197553	0.0	0.4255128048104795	0.0	0.16427850150633827	0.4276488003383515	0.3364403249323058	0.056589917130529965	0.39117482551494387	0.17797324476119747	0.056589917130529965	0.17797324476119747	0.0	0.2925926449188342	0.4255128048104795	0.16427850150633827	0.16427850150633827	0.4011514797791884	0.17797324476119747	0.16427850150633827	0.4000519270713133	0.16427850150633827	0.17797324476119747	0.3592867575462513	0.2952053784321921	0.39117482551494387	0.39117482551494387	0.16427850150633827	0.16427850150633827	0.4214697277553672	0.16427850150633827	0.16427850150633827	0.6729967333295975	0.6341554948606216	0.32244092484633957	0.7908811466851544	0.68714965654266	0.6224633031982114	0.4908321642307898	0.6948344412490375	0.49521354556356156	0.14682834419621615	0.14682834419621615	0.16203080963361516	0.14682834419621615	0.1842243855729334	0.1842243855729334	0.18135383748944023	0.16203080963361516	0.3821381553701835	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.18972351807188692	0.14682834419621615	0.18972351807188692	0.7045548032774127	0.7493527500459796	0.8001744478949704	0.7606244032499234	0.8249883106021192	0.5266066649150074	0.2540298528410725	0.7709851301916142	0.5590912410758303	0.5428042638594366	0.5884511008579822	0.47212518513426527	0.5239059927641243	0.5991420377092993	0.4527337397715566	0.48365523914403163	0.4410328352678039
16SAMP-12030	0.21933073172888784	0.26361815097957286	0.0	0.08275697313297159	0.17538023891017085	0.26361815097957286	0.17706834165583862	0.26361815097957286	0.38458985767311527	0.18247545237360396	0.09005780346820802	0.30528993879206523	0.13037742272804664	0.3946744180329885	0.30528993879206523	0.3946744180329885	0.26361815097957286	0.4571042887579354	0.17706834165583862	0.38458985767311527	0.38458985767311527	0.1403540769922912	0.3946744180329885	0.38458985767311527	0.15255019616893617	0.38458985767311527	0.3946744180329885	0.10012524014493818	0.031587227452619215	0.13037742272804664	0.13037742272804664	0.38458985767311527	0.38458985767311527	0.16586723232852874	0.38458985767311527	0.38458985767311527	0.5362258360250651	0.4850926756041114	0.07988080361434202	0.701747244488978	0.5751520167512147	0.5420911016404757	0.3003853598764007	0.5643399921660792	0.41511921973824883	0.3717398785673902	0.3717398785673902	0.3762612266304316	0.3717398785673902	0.3922552417413223	0.3922552417413223	0.38703064876040316	0.3762612266304316	0.13070249420535174	0.3717398785673902	0.3717398785673902	0.3717398785673902	0.3717398785673902	0.3717398785673902	0.3717398785673902	0.4033271060200093	0.3717398785673902	0.4033271060200093	0.6592569178289673	0.6482049129690499	0.7450722103800924	0.721157722063068	0.7761742312115727	0.33557041002186605	0.4266327213100606	0.7257975723304673	0.3644997080718143	0.34104281362922595	0.38074513297600443	0.583719371562617	0.3124636481037866	0.39084140893890207	0.5717530393518753	0.4013697691268333	0.5646212921681313
16SAMP-12031	0.14507715961505618	0.33111122775707313	0.08275697313297159	0.0	0.24202631706829814	0.33111122775707313	0.09731900744953992	0.33111122775707313	0.3978920027176691	0.10629703343422103	0.08954156776389155	0.3203061586469377	0.13123261834541688	0.40775858440707335	0.3203061586469377	0.40775858440707335	0.33111122775707313	0.4674827443181214	0.09731900744953992	0.3978920027176691	0.3978920027176691	0.14108948060762982	0.40775858440707335	0.3978920027176691	0.19270484483143568	0.3978920027176691	0.40775858440707335	0.1564455642456798	0.054437990665713754	0.13123261834541688	0.13123261834541688	0.3978920027176691	0.3978920027176691	0.16628784756162196	0.3978920027176691	0.3978920027176691	0.5416404154298817	0.5095738801086408	0.059552957009007534	0.699225370418508	0.5920093501061114	0.5480551852066546	0.29951637674207776	0.5545695011817002	0.4248566691674309	0.43372468053587154	0.43372468053587154	0.4362424091362278	0.43372468053587154	0.4513031782630318	0.4513031782630318	0.4455024627248212	0.4362424091362278	0.18419740777667015	0.43372468053587154	0.43372468053587154	0.43372468053587154	0.43372468053587154	0.43372468053587154	0.43372468053587154	0.41622424377250955	0.43372468053587154	0.41622424377250955	0.6554398776594768	0.6676843702439486	0.7421475610092123	0.7178194957326098	0.7735253924999477	0.33262928120401747	0.42083618550526236	0.7225646685149794	0.346864900396224	0.32273837473492883	0.36193598994392184	0.5771935143170083	0.29474363903429646	0.37198723805522027	0.5651371440641313	0.3963004702133448	0.5579543072731085
16SAMP-12032	0.3270321063351743	0.24761557926197553	0.17538023891017085	0.24202631706829814	0.0	0.24761557926197553	0.3294223095738191	0.24761557926197553	0.37121616445753247	0.3331884902760852	0.16381188786054457	0.2901929512818421	0.2939717665013355	0.3815198759284958	0.2901929512818421	0.3815198759284958	0.24761557926197553	0.44672316821180347	0.3294223095738191	0.37121616445753247	0.37121616445753247	0.3031790739951076	0.3815198759284958	0.37121616445753247	0.30678805114827035	0.37121616445753247	0.3815198759284958	0.2644554766825412	0.20450733277421418	0.2939717665013355	0.2939717665013355	0.37121616445753247	0.37121616445753247	0.3237631560105966	0.37121616445753247	0.37121616445753247	0.6001336508861498	0.5591103381874274	0.18676463448186575	0.7368823078886904	0.6275874461251896	0.5394352193978247	0.41261067501297144	0.624415361250779	0.3949545815965113	0.35808693795796886	0.35808693795796886	0.36312465009858097	0.35808693795796886	0.37948845565563627	0.37948845565563627	0.3743483978957437	0.36312465009858097	0.28821676049646994	0.35808693795796886	0.35808693795796886	0.35808693795796886	0.35808693795796886	0.35808693795796886	0.35808693795796886	0.3903605985068723	0.35808693795796886	0.3903605985068723	0.6393128897765169	0.6944783645640265	0.7581270569608655	0.6949244801232037	0.7679013436334873	0.41518793388288266	0.41572539643279194	0.720161664319904	0.3790740774554019	0.3561373447440169	0.41900622013016653	0.5130067717962281	0.3295231617030925	0.4064620781644689	0.5216109236777089	0.31353450570788755	0.5132552004497686
16SAMP-12033	0.45504287690179823	0.0	0.26361815097957286	0.33111122775707313	0.24761557926197553	0.0	0.4255128048104795	0.0	0.16427850150633827	0.4276488003383515	0.3364403249323058	0.056589917130529965	0.39117482551494387	0.17797324476119747	0.056589917130529965	0.17797324476119747	0.0	0.2925926449188342	0.4255128048104795	0.16427850150633827	0.16427850150633827	0.4011514797791884	0.17797324476119747	0.16427850150633827	0.4000519270713133	0.16427850150633827	0.17797324476119747	0.3592867575462513	0.2952053784321921	0.39117482551494387	0.39117482551494387	0.16427850150633827	0.16427850150633827	0.4214697277553672	0.16427850150633827	0.16427850150633827	0.6729967333295975	0.6341554948606216	0.32244092484633957	0.7908811466851544	0.68714965654266	0.6224633031982114	0.4908321642307898	0.6948344412490375	0.49521354556356156	0.14682834419621615	0.14682834419621615	0.16203080963361516	0.14682834419621615	0.1842243855729334	0.1842243855729334	0.18135383748944023	0.16203080963361516	0.3821381553701835	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.18972351807188692	0.14682834419621615	0.18972351807188692	0.7045548032774127	0.7493527500459796	0.8001744478949704	0.7606244032499234	0.8249883106021192	0.5266066649150074	0.2540298528410725	0.7709851301916142	0.5590912410758303	0.5428042638594366	0.5884511008579822	0.47212518513426527	0.5239059927641243	0.5991420377092993	0.4527337397715566	0.48365523914403163	0.4410328352678039
16SAMP-12034	0.05827855279004435	0.4255128048104795	0.17706834165583862	0.09731900744953992	0.3294223095738191	0.4255128048104795	0.0	0.4255128048104795	0.3510021479304757	0.03315280040700419	0.1821202848399921	0.40185695721347126	0.05886611644223316	0.34390840121758715	0.40185695721347126	0.34390840121758715	0.4255128048104795	0.432300341769015	0.0	0.3510021479304757	0.3510021479304757	0.048590457560696576	0.34390840121758715	0.3510021479304757	0.13134283024025772	0.3510021479304757	0.34390840121758715	0.08871101367628142	0.15166113056588382	0.05886611644223316	0.05886611644223316	0.3510021479304757	0.3510021479304757	0.07845613121582928	0.3510021479304757	0.3510021479304757	0.5245094196204884	0.4899847345669326	0.15107632979174568	0.6933630690712586	0.6334953198207898	0.5199014740407191	0.3707440933274073	0.5307960919183959	0.37825159701223554	0.3746948922220863	0.3746948922220863	0.40348840066843605	0.3746948922220863	0.39606011221278137	0.39606011221278137	0.4141000265514495	0.40348840066843605	0.13013614469674628	0.3746948922220863	0.3746948922220863	0.3746948922220863	0.3746948922220863	0.3746948922220863	0.3746948922220863	0.35328675241286056	0.3746948922220863	0.35328675241286056	0.6551453217451614	0.6677786172846546	0.7439175149267472	0.7192470907919928	0.7757014267142787	0.31385685606237435	0.40395601379286694	0.7240614725896475	0.42075063450618067	0.39935341563162685	0.3429555221871279	0.5716995940600749	0.37452557694772237	0.3325741876439835	0.5586938941640827	0.47492519333151983	0.5509232010114882
16SAMP-12035	0.45504287690179823	0.0	0.26361815097957286	0.33111122775707313	0.24761557926197553	0.0	0.4255128048104795	0.0	0.16427850150633827	0.4276488003383515	0.3364403249323058	0.056589917130529965	0.39117482551494387	0.17797324476119747	0.056589917130529965	0.17797324476119747	0.0	0.2925926449188342	0.4255128048104795	0.16427850150633827	0.16427850150633827	0.4011514797791884	0.17797324476119747	0.16427850150633827	0.4000519270713133	0.16427850150633827	0.17797324476119747	0.3592867575462513	0.2952053784321921	0.39117482551494387	0.39117482551494387	0.16427850150633827	0.16427850150633827	0.4214697277553672	0.16427850150633827	0.16427850150633827	0.6729967333295975	0.6341554948606216	0.32244092484633957	0.7908811466851544	0.68714965654266	0.6224633031982114	0.4908321642307898	0.6948344412490375	0.49521354556356156	0.14682834419621615	0.14682834419621615	0.16203080963361516	0.14682834419621615	0.1842243855729334	0.1842243855729334	0.18135383748944023	0.16203080963361516	0.3821381553701835	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.14682834419621615	0.18972351807188692	0.14682834419621615	0.18972351807188692	0.7045548032774127	0.7493527500459796	0.8001744478949704	0.7606244032499234	0.8249883106021192	0.5266066649150074	0.2540298528410725	0.7709851301916142	0.5590912410758303	0.5428042638594366	0.5884511008579822	0.47212518513426527	0.5239059927641243	0.5991420377092993	0.4527337397715566	0.48365523914403163	0.4410328352678039
16SAMP-12036	0.38843944991152646	0.16427850150633827	0.38458985767311527	0.3978920027176691	0.37121616445753247	0.16427850150633827	0.3510021479304757	0.16427850150633827	0.0	0.3550917369156562	0.40283608434309714	0.14113195043902105	0.3084068260139917	0.01638673084220421	0.14113195043902105	0.01638673084220421	0.16427850150633827	0.17833553500660493	0.3510021479304757	0.0	0.0	0.3197397772084062	0.01638673084220421	0.0	0.36408087581599735	0.0	0.01638673084220421	0.3313837422800868	0.36451670220326937	0.3084068260139917	0.3084068260139917	0.0	0.0	0.34459505069460383	0.0	0.0	0.6503056239028209	0.6334922941225987	0.4337493143946034	0.7819164574218571	0.7385442421615751	0.5911701545328225	0.5450241703921783	0.674708523184133	0.4385775923487738	0.07778157709769962	0.07778157709769962	0.13907090984863935	0.07778157709769962	0.12351162265854199	0.12351162265854199	0.16100237632317993	0.13907090984863935	0.38263495898772815	0.07778157709769962	0.07778157709769962	0.07778157709769962	0.07778157709769962	0.07778157709769962	0.07778157709769962	0.030446765592858194	0.07778157709769962	0.030446765592858194	0.716018028227349	0.7603444802334077	0.8100703094191538	0.7714242058742502	0.8341354916852717	0.5352163065480393	0.24272127626936635	0.7815827255371723	0.6489491847280296	0.6359815207512876	0.6018018950965671	0.4800270453008789	0.6209347489624306	0.5955103457706995	0.4592983196231456	0.5888871663557197	0.4467298325887237
16SAMP-12037	0.08773667452543565	0.4276488003383515	0.18247545237360396	0.10629703343422103	0.3331884902760852	0.4276488003383515	0.03315280040700419	0.4276488003383515	0.3550917369156562	0.0	0.18900202980789726	0.41998869431064756	0.06750342926694197	0.3656596750407327	0.41998869431064756	0.3656596750407327	0.4276488003383515	0.4342771274913003	0.03315280040700419	0.3550917369156562	0.3550917369156562	0.07807136739201848	0.3656596750407327	0.3550917369156562	0.10006985997630835	0.3550917369156562	0.3656596750407327	0.09840357559172452	0.1577320316088232	0.06750342926694197	0.06750342926694197	0.3550917369156562	0.3550917369156562	0.0656100875187563	0.3550917369156562	0.3550917369156562	0.5245988332143194	0.48963220132879826	0.1568087727671288	0.6921591956359332	0.6320219365233457	0.5292288416396833	0.3720390656848205	0.5386278966464235	0.39387298922380154	0.3947612843705002	0.3947612843705002	0.4217763643726625	0.3947612843705002	0.41479923333775337	0.41479923333775337	0.4317527390205076	0.4217763643726625	0.15680459277257686	0.3947612843705002	0.3947612843705002	0.3947612843705002	0.3947612843705002	0.3947612843705002	0.3947612843705002	0.3747271076306825	0.3947612843705002	0.3747271076306825	0.6539870484328496	0.6661417879662914	0.7425308852816399	0.71781043784677	0.7743035387935477	0.31610376356690706	0.40647494113689875	0.7226420941454745	0.42250477367179606	0.4015206894785609	0.3463285139622756	0.5709903011740683	0.37591224947992674	0.33618753001812696	0.5582032276717658	0.4758825243228526	0.5505697891432575
