Order	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
Sphingomonadales	0	0	0.00944	0	0	0.00835	0	0	0	0	0.0265	0	0	0	0	0	0	0	0.0102	0.0178	0.00719	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0.0156	0.019	0.0786	0.051	0.0118	0	0	0	0.0625	0.0297	0.071	0.0208	0	0.00139	0.00515	0.00163	0	0.00132	0	0	0.000458	0.00256	0	0	0	0	0	0	0	0	0.00498	0.156	0.065	0.0322	0.0586	0	0	0.011	1.05	0	0.00384	0	0	0	0	0	0	0	2.2
"Flavobacteriales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0	0	0	0	0	0.00762	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548	0.187	0.013	0.0645	0.0732	0	0	0.143	1.69	0.00655	0	0	0	0	0	0	0	0	2.2
Caldilineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.0299	0.0259	0.065	0.118	0.19	0.00831	0	0.0768	0.422	0	0.00384	0	0	0	0	0	0	0	1.9
"Bacteroidales"	0	0.00897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0.00843	0	0	0	0	0.00514	0.0149	0	0	0	0.00958	0	0	0	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0.00196	0	0	0	0	0	0.0697	0.0778	0	0.0215	0.0146	0.216	0	0.0549	2.53	0.00655	0	0	0	0	0	0	0	0	1.9
Rhodospirillales	2.88	5.75	11.6	3.54	22.9	3.51	2.17	24.6	4.06	3.1	10.2	1.79	0.667	9.95	19.3	0.876	1.93	1.33	0.224	2.09	9.36	1.99	0.784	3.57	0.524	0.345	0.759	1.31	0.631	0.61	0.482	2.5	1.11	0.25	0.521	1.08	0.105	3.55	60.4	0	0.798	21.9	0.107	3.13	0.13	0.642	95.3	96.9	96.6	98.6	97.9	98.6	92.9	95.8	89.6	90.7	92.1	94.5	87.1	83.9	59.4	87.4	92.4	90.2	0.154	0.156	0.156	0.655	0.981	2.24	0.716	0.307	0.844	17.2	19.5	10	82.2	63.5	85.4	0.877	0.14	0.635	1.6
Xanthomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0597	0.0623	0.078	0.043	0.117	0	0	0.0988	0.844	0	0	0	0	0	0	0	0	0	1.6
Cytophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299	0.0519	0.026	0.0107	0.0293	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6
Caulobacterales	0	0	0.00944	0	0.0149	0	0.00854	0	0	0	0	0.0169	0	0	0	0.012	0	0	0	0.0119	0	0.0497	0	0	0	0.0135	0.0147	0	0	0.00884	0.0169	0	0.00958	0	0.00778	0.019	0.21	0.187	0	0	0	0.0411	0.117	0.0853	0.0592	0.0312	0	0	0	0.00163	0	0	0.00164	0.00287	0	0	0	0	0	0	0	0	0	0	0.0348	0.00519	0.052	0.0322	0.0293	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3
Anaerolineales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0.699	0.299	0.123	0	0	0	0	0	0	0.00258	0	0	0	0	0	0.000458	0	0.00212	0	0	0	0	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0.00611	0.9
Acidimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00256	0	0	0	0	0	0	0	0	0.0199	0.00519	0.13	0.0645	0.102	0	0	0.022	0.211	0	0	0	0	0	0	0	0	0	0.6
Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00254	0	0.00238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Solirubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Thermoanaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0233	0	0.0119	0	0	0	0	0	0	0.00736	0	0	0	0	0	0	0	0.00778	0	0.0262	0	0	0	0.599	0.247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Holophagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00519	0.013	0	0.0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Myxococcales	0	0	0.00944	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
"Chloroflexales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0822	0	0	0	0	0	0.00139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00384	0	0	0	0	0	0	0	0.3
Planctomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00996	0	0.039	0	0.0293	0	0	0	0.211	0	0	0	0	0	0	0	0	0	0.3
Pseudomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0.00595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Nitrosomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0.00519	0.013	0	0	0	0	0.011	0	0	0	0	0	0	0	0	0	0	0.3
Petrotogales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0	0	0.00442	0.00846	0.00638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00139	0.00258	0.00163	0.00211	0	0	0	0	0	0	0.00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
