	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
16SAMP-12028	0.0	0.053691531531531514	0.07708283289277301	0.0032560829129129176	0.08137243243243243	0.031093223223223197	0.0065581766836977145	0.0865693361861862	0.01815338057496373	0.007539975807470778	0.049684994994995	0.020086586586586574	0.03163238603238604	0.10519446618618616	0.13728471987987986	0.01687869531856505	0.039830786901359175	0.11070460460460459	0.03503697474027133	0.03853269269269269	0.061023613613613595	0.012631419763136654	0.02648748748748748	0.026326906906906897	0.06465648648648649	0.05889071910910909	0.05883603603603604	0.046391141141141144	0.0725484191091091	0.07560032967967967	0.0729798092092092	0.07915734734734733	0.11789105105105105	0.10088365810700478	0.0532354217343596	0.05209033033033031	0.01530166166166167	0.041577787307307296	0.3874115656615656	0.02998877110110109	0.5916873393312829	0.018112249832580838	0.03165057057057056	0.015910323539972848	0.02461262262262263	0.27164502337337343	0.27633598337337334	0.2755551451451451	0.28175927927927924	0.27939848337337336	0.2816441533733733	0.2637551333733734	0.27296998337337336	0.25309738337337334	0.25707384384384385	0.2620547433733733	0.2686359059059059	0.24542149149149145	0.23451204337337336	0.17473663987987986	0.24545371337337338	0.2591888733733734	0.255769049049049	0.02415512662816033	0.027240182896310947	0.061868150380451084	0.07191948777725093	0.07438371510285795	0.05458033231221171	0.06293256949025254	0.061749965679965685	0.5760655267567567	0.5726284484484484	0.5868793920299437	0.3321278376472665	0.4092731982684087	0.32121689935689934	0.7216389631431431	0.7375452661561561	0.8042193517690208
16SAMP-12029	0.053691531531531514	0.0	0.025862146517775273	0.05151069346346345	0.05952206206206208	0.02320887887887889	0.04940399452558771	0.06410687996996997	0.03565129913480614	0.05323091837328311	0.022359129129129133	0.03509309309309309	0.026886084606084583	0.05278377549549548	0.08402864380380379	0.03996138742951367	0.015270021316497222	0.062103323323323315	0.024222589834323294	0.016243683683683674	0.012369299299299292	0.06582291125462814	0.030074014014014005	0.027834614614614613	0.027364934934934932	0.025694302312312317	0.024318498498498486	0.016983993993993984	0.03165952231231231	0.03375014231231231	0.03240895375375376	0.030560730730730724	0.06935547547547548	0.05424083528418197	0.022578043775238175	0.020129309309309316	0.0677689089089089	0.038100198318318325	0.348212432042432	0.06469679678678679	0.5522749269188706	0.07061843461314876	0.04718602602602602	0.06637002470406277	0.07652595595595595	0.2838533517017017	0.2885446204104104	0.2877149049049049	0.2939676076076076	0.29160681170170166	0.2938787704104104	0.2760180504104104	0.2850330604104104	0.2661376917017017	0.269487977977978	0.2744689804104104	0.28094713713713715	0.25773272272272274	0.2469262804104104	0.1683058504104104	0.2579707504104104	0.2716031104104104	0.26828608608608606	0.053874035772238024	0.051099435380502434	0.030708340621145865	0.02953016835661573	0.03980352440195297	0.018258403911449134	0.024413411555989282	0.03266675401845615	0.5367152004104104	0.5332784984984985	0.5566200427910357	0.2833227611479215	0.3681294084064024	0.2803664793864794	0.6729492334134135	0.6897974834134134	0.7555296220392911
16SAMP-12030	0.07708283289277301	0.025862146517775273	0.0	0.07525937734530937	0.04594363237488987	0.04893931812051575	0.07273858057432232	0.051203552115768464	0.0607135241740967	0.07644609178436716	0.02846119844395293	0.060560529331726946	0.050274109244049354	0.03137203009980038	0.061115059560878225	0.06513676064704259	0.040393903217661065	0.06123607631583679	0.047613891195564785	0.04141905690121259	0.018547752003500523	0.08906545120602172	0.05524938723154293	0.05272979386572202	0.04018254500008991	0.04022191015968064	0.03884610634586683	0.03550070411729094	0.0452906107984032	0.04648713139720559	0.04504758139720559	0.0423251754149359	0.06640160184136233	0.05991998275993104	0.037105651622606504	0.03480854183524845	0.09147628011244778	0.06106306590818365	0.32367320091086554	0.08832299255489023	0.5278389868151021	0.09465071752182697	0.07027715697733662	0.08979310251241004	0.10114777561993131	0.2711077977045908	0.27579875770459084	0.27496949632267	0.2812220536104966	0.27886125770459086	0.2811069277045908	0.26316948455089817	0.27238433455089817	0.25254693455089816	0.25663890489291685	0.26161990732534934	0.26809868023712335	0.24488426582270892	0.23407720732534926	0.15545677732534927	0.24512167732534929	0.2587540373253493	0.255437013001025	0.07871299680516394	0.07488720564967626	0.052314637022624774	0.04347751305082144	0.05074510191861174	0.03585481110141525	0.03910870457680426	0.05261132440286599	0.512902213512974	0.5094651704399009	0.5365594620187909	0.2628847684790739	0.3439736754947019	0.2584387161142251	0.6570561792814372	0.6729972545508982	0.7397991905056487
16SAMP-12031	0.0032560829129129176	0.05151069346346345	0.07525937734530937	0.0	0.07962822517517516	0.02899565042042039	0.008273117575150306	0.0844544	0.0167320943286573	0.00676694591182362	0.047651456446446444	0.019024245095095076	0.03112149961038961	0.10369414999999997	0.13516488999999998	0.01943177324649298	0.03899690228915661	0.11019182549549547	0.03455916166332664	0.03801991358358357	0.05949047742742741	0.014537781405622514	0.026007528378378365	0.02486724779779778	0.06414556727727729	0.058377939999999975	0.058356076926926924	0.04587836203203203	0.07174473999999999	0.07508933999999999	0.07246888999999998	0.07847543910910908	0.11737827194194193	0.10040555889779557	0.05272264262525049	0.05157755122122119	0.017346521551551565	0.03976812999999998	0.38447602204795195	0.02903943999999998	0.588784468390342	0.020188261374122385	0.03000802237237235	0.018000986753507024	0.026687527057057073	0.26991972	0.27461068	0.27378127320320317	0.28003397590590584	0.27767317999999996	0.27991885	0.26198131	0.27109911999999997	0.25127504	0.25534854047047045	0.26032944	0.2669106025325325	0.24369618811811808	0.23278674	0.17348951	0.24372841	0.25746357	0.2540437456756757	0.024557107058222668	0.026721871219512194	0.06135387875882945	0.07144989048582995	0.07405581040816324	0.05418494497487436	0.06227466001003008	0.06123579952380952	0.57368298	0.5702459016916916	0.5851242289568706	0.33112834238476946	0.4074514801402806	0.32026791401598403	0.7212038099999999	0.73694606	0.8037841986258776
16SAMP-12032	0.08137243243243243	0.05952206206206208	0.04594363237488987	0.07962822517517516	0.0	0.058567737737737754	0.07710830023410184	0.006486092062062054	0.06388564422137569	0.08082239126902455	0.03911896896896897	0.06369885885885886	0.07043548997548998	0.06794920628628628	0.061588895555555544	0.06827596200408824	0.06929656955147921	0.1057467067067067	0.07392284295317363	0.06853775775775776	0.04875706706706708	0.09344171777198887	0.06745133133133134	0.05776996996996997	0.08568535535535536	0.0845682762862863	0.08319247247247247	0.07296759759759759	0.0899804962862863	0.09207056273273274	0.09079507987987989	0.08670439439439441	0.11074796796796799	0.10550341409545819	0.0814520506679024	0.07903613613613615	0.09550264264264263	0.07023893909909912	0.31472815397815396	0.09449317642642645	0.5196035359907192	0.0983521683468825	0.0769830830830831	0.09410375843779652	0.1042596896896897	0.2262029613113113	0.23089423002002	0.2300645145145145	0.23631721721721716	0.23395642131131134	0.23622838002002	0.21836766002002	0.22747966145145143	0.20798277274274274	0.21183758758758758	0.21681859002002005	0.2232967467467467	0.20008233233233233	0.18927589002002	0.11065546002002	0.20032036002002	0.21395272002002	0.2106356956956957	0.08169256478132884	0.07945105095949609	0.07693792637238651	0.08047380415840943	0.07817551312537027	0.0723791977102731	0.0834502283728061	0.07847265834223283	0.5103125974074074	0.5040242442442442	0.5342897917174948	0.25256557538500424	0.33505983883683277	0.24290495298495296	0.6680671313113113	0.6842886346046045	0.7506475199371889
16SAMP-12033	0.031093223223223197	0.02320887887887889	0.04893931812051575	0.02899565042042039	0.058567737737737754	0.0	0.0267774980290912	0.06294674983983985	0.013645642516263747	0.0306044218767866	0.022084724724724752	0.01249478478478477	0.01365177626177625	0.0757586603803804	0.1064493344944945	0.017363079121205348	0.011958636196437396	0.08199558558558559	0.01713912923945989	0.011200490490490484	0.03155495495495496	0.04319641475813163	0.010852002002001981	0.005471661661661647	0.03779617617617621	0.030247438648648657	0.030225575575575602	0.018574874874874903	0.04450805864864866	0.04878167864864866	0.0461306900900901	0.05042480480480481	0.08924773773773775	0.07413309754644425	0.02459207550235608	0.023414164164164166	0.04517060060060058	0.028590574474474485	0.3659936173136173	0.04310705304304305	0.5698659078998516	0.04802012630484044	0.026942232232232244	0.04377171639575445	0.053927647647647625	0.2829272155655656	0.28761817556556557	0.28678876876876874	0.29304147147147147	0.2906806755655656	0.29292634556556557	0.27498880556556554	0.2841066155655656	0.2652115555655656	0.268356036036036	0.2733370384684685	0.2799180980980981	0.2567036836836837	0.24579433846846843	0.1671739084684685	0.25683880846846846	0.27047116846846847	0.2671541441441442	0.031332915397522136	0.02877921058253374	0.03530667496962151	0.044262224765251094	0.04799088619231478	0.02764166092725894	0.034021014354374456	0.038675504805717596	0.5543343695795796	0.5508976676676677	0.5706627555037485	0.30297018137375853	0.38574857757557157	0.2945063292363293	0.6929501643443443	0.7097984143443443	0.7755305529702221
16SAMP-12034	0.0065581766836977145	0.04940399452558771	0.07273858057432232	0.008273117575150306	0.07710830023410184	0.0267774980290912	0.0	0.08222508386773549	0.013809128256513026	0.008932855711422834	0.04542086279666442	0.014832477477477478	0.025445848650347665	0.10085021386773546	0.13302537106212425	0.012522745490981955	0.034547640562248995	0.10545049549549548	0.028850120240480972	0.03333485147472122	0.056679361295162885	0.017026310150421334	0.02123337837837838	0.021850922856724457	0.058469737904236915	0.053636609999999994	0.05358192692692694	0.04113703203203205	0.06729431	0.06944881633266534	0.06679295470941883	0.0741626329435648	0.11263694194194193	0.09469680360721441	0.0479813126252505	0.04683622122122121	0.019792623274577183	0.03823736376753507	0.3839862386210983	0.031030568837675347	0.5883296716370366	0.02293444267672758	0.02831014703079833	0.01884801603206413	0.029990033008960863	0.2771190347695391	0.2818099947695391	0.2810291565413108	0.28723329067544495	0.284872494769539	0.2871181647695391	0.2692291447695391	0.27844399476953907	0.25857139476953905	0.2625478552400096	0.2675287547695391	0.27410991730207157	0.25089550288765716	0.23998605476953908	0.17047729106212425	0.25092772476953906	0.26466288476953903	0.2612430604452147	0.021224968251108957	0.022989918271502367	0.05582529629389961	0.06634905837991772	0.06834586409553801	0.048418196684826956	0.05767846038114344	0.05570582933851492	0.5729737098797595	0.5695366315714512	0.5834923209608786	0.3277680761523046	0.4039806913827655	0.31592439247125625	0.7161785554709418	0.7316068608216433	0.7987589440968195
16SAMP-12035	0.0865693361861862	0.06410687996996997	0.051203552115768464	0.0844544	0.006486092062062054	0.06294674983983985	0.08222508386773549	0.0	0.06841595561122246	0.08593914198396795	0.0442219222122122	0.06850963604604607	0.07572426724275724	0.07268443	0.05884944999999997	0.07312515953907814	0.07403123008032128	0.11035068327327327	0.07921162022044088	0.07327298147147147	0.05349229078078079	0.09855850140562251	0.07218655504504504	0.06245624473473474	0.0911280033133133	0.08930350000000001	0.08792769618618619	0.07846228357357357	0.09526872	0.09735934	0.09595261000000002	0.09140676525525526	0.11548319168168168	0.11079219136272545	0.08618724146292588	0.083738506996997	0.10064671356356357	0.07546615000000001	0.309236548061938	0.09975306000000002	0.5166656420321931	0.10349623926780344	0.082183033983984	0.09924782935871743	0.10940376061061063	0.22173539999999994	0.22642635999999997	0.2255969532032032	0.2318496559059059	0.22948886000000002	0.23173453000000002	0.21379699000000002	0.22296331999999996	0.20401973999999995	0.20716422047047045	0.21214512000000002	0.2187262825325325	0.19551186811811808	0.18460242	0.10598198999999998	0.19564689000000002	0.20927924999999997	0.2059622256756757	0.08695831408580185	0.0846908705691057	0.08229895557013117	0.08598568821862348	0.08365995571428572	0.07778719814070352	0.08824406719157471	0.08373776795339413	0.5078221599999999	0.501650013043043	0.5324000128886659	0.2483092023847695	0.33063296799599196	0.239438094015984	0.66563979	0.68248804	0.7482201786258775
16SAMP-12036	0.01815338057496373	0.03565129913480614	0.0607135241740967	0.0167320943286573	0.06388564422137569	0.013645642516263747	0.013809128256513026	0.06841595561122246	0.0	0.017579619238476965	0.03347163444005129	0.009682798489872621	0.020058448625522758	0.0871068571543086	0.11933844721442885	0.011282314629258494	0.02321233404560124	0.09408236924299046	0.023545801603206396	0.021943376021311904	0.04290315172888318	0.030171612119821983	0.016520736427810555	0.008902560175405866	0.0499270697150056	0.042301435290581155	0.042279572217508096	0.030731774419710305	0.05685295529058117	0.06083567529058117	0.05821747374749499	0.06239384145668714	0.10130173437967024	0.08618709418837674	0.03664607214428858	0.03546816080609667	0.03223075795234112	0.030386648336673344	0.37575046917010846	0.03532666839679359	0.5799162781498611	0.03508028365658097	0.0236034645266509	0.030964498997995988	0.040987804999388165	0.27511676022044085	0.27980772022044087	0.27902688199221265	0.28523101612634677	0.2828702202204409	0.28511589022044087	0.2672268702204409	0.2764417202204409	0.2574981402204409	0.2605455806909114	0.2655264802204409	0.27210764275297344	0.248893228338559	0.23798378022044092	0.15936335022044087	0.24892545022044088	0.2626606102204409	0.2592407858961166	0.020640157352498665	0.02113897251820715	0.04671531976162214	0.05666196715292934	0.05959589415565826	0.04007419033040958	0.04645354375752509	0.04652068327130453	0.5644696998196392	0.5610329979077273	0.5771122683280301	0.31458764529058114	0.3958839078156313	0.30556959123041283	0.705382693747495	0.722473323747495	0.7879630823733726
16SAMP-12037	0.007539975807470778	0.05323091837328311	0.07644609178436716	0.00676694591182362	0.08082239126902455	0.0306044218767866	0.008932855711422834	0.08593914198396795	0.017579619238476965	0.0	0.04913492091289689	0.01985608506301892	0.029520491252234767	0.10459715775551101	0.13688518068136274	0.021455601202404785	0.039510335953030565	0.11041319088627706	0.03291481963927857	0.0382413118930554	0.0603934523300856	0.01765537764283587	0.026694023000956853	0.025602934377263045	0.06190130188304539	0.05859937116232465	0.0585775080892516	0.04609976034150385	0.07225379116232465	0.07172563144288578	0.06664124488977956	0.07869680449989067	0.11759967025141375	0.09449743486973948	0.05294400801603208	0.05179891661200278	0.018578425359226946	0.03482622348697395	0.3822933702169574	0.02925178126252506	0.589205213162744	0.023447405281978195	0.024898830574061045	0.017147324649298593	0.031613990924792515	0.27366994659318633	0.2783609065931863	0.2775800683649582	0.28378420249909225	0.2814234065931864	0.28366907659318635	0.2657800565931864	0.2749949065931863	0.25512230659318635	0.25909876706365687	0.2640796665931864	0.270660829125719	0.2474464147113045	0.23653696659318638	0.17433710068136274	0.24747863659318636	0.26121379659318644	0.2577939722688621	0.02539688707343185	0.025028024402463475	0.05763698968067316	0.06830381789895582	0.07009384867694574	0.05124266349784999	0.06264115577192501	0.05755063425736988	0.5723384313226453	0.5688974781394621	0.5797884031252072	0.33145193386773547	0.4051033266533067	0.31576218378815574	0.720998184729459	0.735323814729459	0.8035785733553366
