Genus	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
(Unassigned)	94.6	86.7	79.9	94	72.1	90.8	94.4	70.4	92	93.6	84	93.6	93	78	67.9	94.7	91	83.2	92.8	91.1	83.6	96.4	93.6	91.5	88.9	90.2	89.9	90.3	88.4	87.9	88.1	86.1	82.7	85.1	90.7	90.4	97.6	88.9	7.55	97.2	96.6	3.74	98.1	90.5	95.9	98.9	4.09	2.6	2.68	0.807	1.5	1.02	6.29	3.38	9.02	8.44	7.42	4.71	11.7	14.7	37.1	11.4	6.24	9.03	95.1	94.1	90.8	88.9	88.7	87.9	88.8	90.3	83.5	0.642	0.665	7.47	0.0935	0.462	0.185	0.583	0.676	0.745	61.4
Paenibacillus	0.134	0.0448	0	0.0134	0.0966	0.0418	0	0.0328	0.0156	0.0561	0.332	0	0	0	0	0	0.0432	0	0	0	0	0	0	0	0	0	0	0.00514	0	0	0	0	0.00958	0	0	0	0	0.017	0.0118	0	0	0.0411	0.00457	0.00397	0	0	0	0	0	0	0.00211	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149	0.0104	0.026	0.312	0.439	0.324	0.0143	0.0329	0	3.16	2.48	0.779	0.867	0.808	1.36	0.856	0.0887	0.305	2.5
Flavobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0548	0.187	0.013	0.0645	0.0586	0	0	0.143	1.69	0.00655	0	0	0	0	0	0	0	0	1.9
Corynebacterium	0.174	0.0269	0.151	0.181	0.00743	0.00835	0.325	0	0.0156	0.808	0.226	0.0254	0.354	0.0278	0.00936	0	0.0288	0	0.448	0.0119	0.0288	0.433	0.0169	0	0.435	0.0339	0.00736	0.0617	0.0547	0.522	0.88	0.0128	0.00958	1.27	0.0311	0.00476	0.0786	2.24	0.533	0	0.0998	0.37	0.0503	2.46	0.17	0.059	0	0	0	0.00651	0.00422	0	0	0	0.0555	0.00256	0.00212	0.00254	0	0.00475	0.00491	0	0	0	0.0199	0.0674	0.013	0.043	0.0439	0.466	0.00716	0	0	0.138	0.115	1.82	0.037	0.324	0.583	0.0109	0	0	1.9
Lactobacillus	0.0134	0.278	0.198	0.0134	0.26	0.0585	0	0.0765	0	0.0112	0.0133	0	0	0	0.0187	0.024	0.159	0	0	0.00593	0	0	0	0	1.58	0.0135	0.0147	1.91	0	0	0	0.00638	0	0	0	0	0.0262	0.068	0.213	0	0.0998	0.822	0.032	0.0218	0.00394	0	0.405	0.304	0.407	0.404	0.469	0.249	0.245	0.304	0.474	0.115	0.102	0.236	0.24	0.102	0.0884	0.0478	0.0605	0.029	0.458	0.877	0.611	0.44	0.264	0.998	1.12	0.549	0	6.4	5.45	13.4	3.23	1.35	5.29	21.5	4.71	2.02	1.9
Saccharibacteria_genera_incertae_sedis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0.00139	0.00258	0	0	0	0	0	0	0	0	0	0	0	0.00246	0	0	0	0.0398	0.0259	0.065	0.043	0.0439	0	0	0.022	0.211	0	0	0	0	0	0	0	0	0	1.3
Caldilinea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00258	0	0	0	0	0.00143	0	0	0	0	0	0	0	0	0	0	0.00498	0.0104	0.052	0.0322	0.0878	0	0	0.0439	0.211	0	0	0	0	0	0	0	0	0	1.3
Clostridium_sensu_stricto	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.0288	0	0.0102	0.0119	0	0.0071	0	0	0	0	0.00736	0	0	0	0	0	0	0	0	0.00951	0.0262	0.034	0	1.4	0.898	0.123	0	0.00595	0	0	0.00369	0	0	0	0	0	0	0.00143	0	0.00512	0	0	0	0	0	0	0	0	0.00498	0	0.013	0.0215	0.0439	0.0582	0.0215	0.0549	0	0	0	0	0.00195	0	0.00264	0	0	0	0.9
Propionibacterium	0.0268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0.00719	0	0	0	0	0.0135	0	0.00514	0	0	0	0.00638	0	0	0.00778	0.00951	0.157	0.051	0.0237	0	0.0998	0	0.204	0.0218	1.31	0.0625	0	0	0	0	0	0	0	0.00143	0	0	0	0	0.00196	0.00238	0.00246	0	0	0	0.00996	0.0726	0.039	0	0.0146	0.0333	0.043	0.0549	0	0	0	0	0	0	0	0	0	0	0.9
Enterococcus	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	0.00394	0	0.0332	0.0541	0.0902	0.00814	0.0253	0.0172	0.0997	0.344	0.164	0	0	0.0152	0	0	0	0	0	0.00484	0.747	0.394	1.29	2.16	1.36	0.698	0.566	2.62	0	0.249	0.2	27.1	0.142	0.0335	0.0237	16.6	38.4	5.84	0.9
Dokdonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00498	0.0415	0.026	0.0107	0.0586	0	0	0.011	0.422	0	0	0	0	0	0	0	0	0	0.9
Streptophyta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0.068	0.0237	0	0	0	0.00305	0.0615	0	0	0.00369	0	0.00258	0	0	0.00132	0	0	0.0229	0.0179	0	0.00507	0.00196	0	0.00983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Weissella	0.0402	0.296	1.2	0.0737	0.0743	0.334	0.00854	0.536	0.187	0.101	0.292	0.0169	0.0563	0	0.0281	0.024	0.144	0.641	0	0.0593	0.0863	0.0142	0.0422	0.121	0.136	0.0745	0.0368	0.0873	0.0745	0.115	0.55	0.192	0.0575	0.00832	0.132	0.152	0.105	3.25	30.5	0.35	0.499	70.5	0.0381	2.64	0	0.0139	0.00369	0.00139	0.00258	0.00651	0.00845	0.00264	0	0	0.000458	0	0	0.00254	0	0	0	0	0	0	0.119	0.69	0.182	0.0752	0.19	0.549	0.437	0.198	0	33.9	37.9	2.31	1.29	21.3	0.0581	2.3	0.584	0.727	0.6
Acetobacter	2.88	5.75	11.6	3.54	22.9	3.51	2.17	24.6	4.06	3.1	10.2	1.79	0.667	9.95	19.3	0.876	1.93	1.33	0.224	2.09	9.36	1.99	0.784	3.57	0.524	0.345	0.759	1.31	0.631	0.61	0.482	2.5	1.11	0.25	0.521	1.08	0.105	3.55	60.4	0	0.798	21.9	0.107	3.13	0.13	0.642	95.3	96.9	96.6	98.6	97.9	98.6	92.9	95.8	89.6	90.7	92.1	94.5	87.1	83.9	59.4	87.4	92.4	90.2	0.0996	0.125	0.13	0.623	0.849	2.24	0.716	0.23	0	17.2	19.5	10	82.2	63.5	85.4	0.877	0.14	0.635	0.6
Leuconostoc	1.86	6.62	6.87	1.74	4.45	4.69	2.64	4.19	3.59	1.78	4.82	4.42	5.88	12	11.7	4.35	6.59	14.7	6.39	6.65	6.93	1.04	5.5	4.77	8.42	9.27	9.29	6.24	10.8	10.9	9.92	11.2	16.1	13.3	8.56	8.27	1.31	1.21	0.237	0.35	0.0998	1.11	1.01	0.789	1.73	0.148	0.177	0.158	0.173	0.0976	0.12	0.0965	0.453	0.207	0.607	0.742	0.411	0.5	0.96	1.36	3.47	1.16	1.33	0.721	2.12	2.01	4.52	5.95	4.45	5.62	8.11	3.81	0	0.518	0.968	0.527	5.4	2.73	4.67	43.3	51.9	88.3	0.6
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0	0	0	0	0.0427	0	0.114	0.0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0.6
Gordonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0.091	0.043	0.161	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
