OTU	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996
OTU34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	7	6	7	10	0	0	12	7	0	0	0	0	0	0	0	0	0
OTU35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	13	4	4	3	0	0	15	7	1	0	0	0	0	0	0	0	0
OTU36	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	3	0	2	0	0	2	1	36	19	193	0	2	0
OTU37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	9	6	8	0	0	8	4	0	0	0	0	0	0	0	0	0
OTU38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	15	2	2	16	0	0	12	4	0	0	0	0	0	0	0	0	0
OTU39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	5	18	30	10	0	0	9	4	0	0	0	0	0	0	0	0	0
OTU40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	5	0	3	0	0	0	5	5	0	0	0	0	0	0	0	0	0
OTU41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	12	5	14	5	0	0	7	0	0	0	0	0	0	0	0	1	0
OTU42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	8	5	275	1	2	1	0	1	0
OTU43	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	5	2	4	4	0	0	0	1	1	0	2	0	0	0	0	2	1	1	1	1	0	0	14	21	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
